# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, SurfNdx, GeomID
LIFTING_SURFACE,horizontal_stabilizer,0,EQKSARYQRN
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
8.563299969523765043e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
8.548485331636614504e+00, 0.000000000000000000e+00, 3.293427643858451992e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
8.527187400258927852e+00, 0.000000000000000000e+00, 3.264545803093835130e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
8.497198384524946135e+00, 0.000000000000000000e+00, 3.225234752082073442e-01, 1.000000000000000000e+00, 1.722603643809274832e-01
8.456184913574713136e+00, 0.000000000000000000e+00, 3.173961030111226989e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
8.402276953030618500e+00, 0.000000000000000000e+00, 3.110817213490653099e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
8.335000227074409906e+00, 0.000000000000000000e+00, 3.038912223307440597e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
8.256264016239189374e+00, 0.000000000000000000e+00, 2.965459639293470118e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
8.170751586894507312e+00, 0.000000000000000000e+00, 2.901662924901909357e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
8.085103772012649515e+00, 0.000000000000000000e+00, 2.860111626485428160e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
8.006036693331330056e+00, 0.000000000000000000e+00, 2.849970636756466447e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.938423818625237161e+00, 0.000000000000000000e+00, 2.873107961108289365e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
7.884401116681466704e+00, 0.000000000000000000e+00, 2.924462754950085674e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
7.843711459725941637e+00, 0.000000000000000000e+00, 2.996281811262623274e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
7.814770786120164736e+00, 0.000000000000000000e+00, 3.083263246336291341e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
7.796065897325414440e+00, 0.000000000000000000e+00, 3.187365972634893518e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
7.788999999999999702e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
7.796065897325414440e+00, 0.000000000000000000e+00, 3.440634027365103709e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
7.814770786120162072e+00, 0.000000000000000000e+00, 3.544736753663708662e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
7.843711459725938973e+00, 0.000000000000000000e+00, 3.631718188737375619e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
7.884401116681464927e+00, 0.000000000000000000e+00, 3.703537245049914328e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.938423818625235384e+00, 0.000000000000000000e+00, 3.754892038891710082e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
8.006036693331328280e+00, 0.000000000000000000e+00, 3.778029363243533556e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
8.085103772012649515e+00, 0.000000000000000000e+00, 3.767888373514570732e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
8.170751586894507312e+00, 0.000000000000000000e+00, 3.726337075098090090e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
8.256264016239189374e+00, 0.000000000000000000e+00, 3.662540360706529885e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
8.335000227074408130e+00, 0.000000000000000000e+00, 3.589087776692558851e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
8.402276953030618500e+00, 0.000000000000000000e+00, 3.517182786509345793e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
8.456184913574711359e+00, 0.000000000000000000e+00, 3.454038969888773014e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
8.497198384524947912e+00, 0.000000000000000000e+00, 3.402765247917926561e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
8.527187400258927852e+00, 0.000000000000000000e+00, 3.363454196906164873e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
8.548485331636614504e+00, 0.000000000000000000e+00, 3.334572356141546901e-01, 1.000000000000000000e+00, 3.958266880232111262e+00
8.563299969523765043e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
8.563299969523765043e+00, 3.246639772213147923e-01, 3.313999999999999169e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
8.548485331636614504e+00, 3.246639772213147923e-01, 3.293427643858451992e-01, 1.199999999999999956e+00, 4.173311976788848798e-02
8.527187400258927852e+00, 3.246639772213147923e-01, 3.264545803093835130e-01, 1.199999999999999956e+00, 9.595583006934514658e-02
8.497198384524946135e+00, 3.246639772213147923e-01, 3.225234752082073442e-01, 1.199999999999999956e+00, 1.722603643809274832e-01
8.456184913574713136e+00, 3.246639772213147923e-01, 3.173961030111226989e-01, 1.199999999999999956e+00, 2.765358755368439447e-01
8.402276953030618500e+00, 3.246639772213147923e-01, 3.110817213490653099e-01, 1.199999999999999956e+00, 4.134663504172014781e-01
8.335000227074409906e+00, 3.246639772213147923e-01, 3.038912223307440597e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
8.256264016239189374e+00, 3.246639772213147923e-01, 2.965459639293470118e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
8.170751586894507312e+00, 3.246639772213147923e-01, 2.901662924901909357e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
8.085103772012649515e+00, 3.246639772213147923e-01, 2.860111626485428160e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
8.006036693331330056e+00, 3.246639772213147923e-01, 2.849970636756466447e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
7.938423818625237161e+00, 3.246639772213147923e-01, 2.873107961108289365e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
7.884401116681465815e+00, 3.246639772213147923e-01, 2.924462754950085674e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
7.843711459725941637e+00, 3.246639772213147923e-01, 2.996281811262623274e-01, 1.199999999999999956e+00, 1.827739635619072489e+00
7.814770786120164736e+00, 3.246639772213147923e-01, 3.083263246336291341e-01, 1.199999999999999956e+00, 1.904044169930654951e+00
7.796065897325414440e+00, 3.246639772213147923e-01, 3.187365972634893518e-01, 1.199999999999999956e+00, 1.958266880232111484e+00
7.788999999999999702e+00, 3.246639772213147923e-01, 3.313999999999999169e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
7.796065897325414440e+00, 3.246639772213147923e-01, 3.440634027365103709e-01, 1.199999999999999956e+00, 2.041733119767888294e+00
7.814770786120162072e+00, 3.246639772213147923e-01, 3.544736753663708662e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
7.843711459725938973e+00, 3.246639772213147923e-01, 3.631718188737375619e-01, 1.199999999999999956e+00, 2.172260364380927289e+00
7.884401116681464927e+00, 3.246639772213147923e-01, 3.703537245049914328e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
7.938423818625235384e+00, 3.246639772213147923e-01, 3.754892038891710082e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
8.006036693331328280e+00, 3.246639772213147923e-01, 3.778029363243533556e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
8.085103772012649515e+00, 3.246639772213147923e-01, 3.767888373514570732e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
8.170751586894507312e+00, 3.246639772213147923e-01, 3.726337075098089535e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
8.256264016239189374e+00, 3.246639772213147923e-01, 3.662540360706529885e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
8.335000227074408130e+00, 3.246639772213147923e-01, 3.589087776692558851e-01, 1.199999999999999956e+00, 3.415838762408752949e+00
8.402276953030618500e+00, 3.246639772213147923e-01, 3.517182786509345793e-01, 1.199999999999999956e+00, 3.586533649582798411e+00
