# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, SurfNdx, GeomID
LIFTING_SURFACE,horizontal_stabilizer,0,YIXOZNKZDR
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
9.932548660183345035e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
9.891536436133142374e+00, 0.000000000000000000e+00, 3.257042125823936263e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
9.832576228451523903e+00, 0.000000000000000000e+00, 3.177075196820031699e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
9.749555100950850317e+00, 0.000000000000000000e+00, 3.068264545732932724e-01, 1.000000000000000000e+00, 1.722603643809274832e-01
9.636014540610929657e+00, 0.000000000000000000e+00, 2.926322288068458066e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
9.486777251510593700e+00, 0.000000000000000000e+00, 2.751537511401834779e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
9.300530491491441509e+00, 0.000000000000000000e+00, 2.552471428915116802e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
9.082559596260139756e+00, 0.000000000000000000e+00, 2.349111387552018093e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
8.845829568408591470e+00, 0.000000000000000000e+00, 2.172498489398038690e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
8.608724743323090678e+00, 0.000000000000000000e+00, 2.057469129259606455e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
8.389838166167681521e+00, 0.000000000000000000e+00, 2.029415301728902943e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
8.202660662297247995e+00, 0.000000000000000000e+00, 2.093459810805655685e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
8.053104992488972158e+00, 0.000000000000000000e+00, 2.235594541547456515e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
7.940461553413651785e+00, 0.000000000000000000e+00, 2.434438557936713099e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
7.860343195182318610e+00, 0.000000000000000000e+00, 2.675237102593392424e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
7.808561016842350710e+00, 0.000000000000000000e+00, 2.963430181614178371e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
7.788999999999999702e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
7.808561016842350710e+00, 0.000000000000000000e+00, 3.664569818385817745e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
7.860343195182318610e+00, 0.000000000000000000e+00, 3.952762897406606468e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
