iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 2 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0045953794798073, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.153953700661, 27038.544489062158, 38900.057478930066, 1.0]
iteration = 3 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0118941536420774, 1.0, 1.0, 1.0, 1.0, 0.0, 31165.94644611908, 27469.675674272126, 38847.270982535767, 1.0]
iteration = 4 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.0123355508884002, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.188700254013, 27051.373635251264, 38880.658418516956, 1.0]
iteration = 5 , objective = 0.000277916666667, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91969826869644766, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 6 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 7 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 8 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [-0.91973872370493837, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 9 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 10 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [-0.91973881429527138, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
iteration = 11 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.91973753179722251, 2.0, 1.0, 2.0, 1.0, 0.0, 31215.771029066946, 27869.938522970733, 77693.81834956992, 1.0]
