# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
20

# DegenGeom Type, SurfNdx, GeomID
LIFTING_SURFACE,horizontal_stabilizer,0,RZLFKLOOIG
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
8.564666251610459469e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
8.549825472724776887e+00, 0.000000000000000000e+00, 3.293391343144538297e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
8.528489960327757302e+00, 0.000000000000000000e+00, 3.264458539260690073e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
8.498448027821712714e+00, 0.000000000000000000e+00, 3.225078122386962343e-01, 1.000000000000000000e+00, 1.722603643809274832e-01
8.457362187024031641e+00, 0.000000000000000000e+00, 3.173713925960989224e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
8.403359103809499686e+00, 0.000000000000000000e+00, 3.110458689646589669e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
8.335963665481930462e+00, 0.000000000000000000e+00, 3.038426820341720846e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
8.257088521573390238e+00, 0.000000000000000000e+00, 2.964844626417237894e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
8.171425202257118769e+00, 0.000000000000000000e+00, 2.900935340268613882e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
8.085626258510682618e+00, 0.000000000000000000e+00, 2.859310722987430387e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
8.006419662926997916e+00, 0.000000000000000000e+00, 2.849151839091925709e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.938687482702143861e+00, 0.000000000000000000e+00, 2.872329990142754585e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
7.884569455622319367e+00, 0.000000000000000000e+00, 2.923775401494112525e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
7.843808000201597963e+00, 0.000000000000000000e+00, 2.995721185294685229e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
7.814816259663779796e+00, 0.000000000000000000e+00, 3.082856102457069980e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
7.796078365373098507e+00, 0.000000000000000000e+00, 3.187142522021481628e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
