iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2052631146439132, 1.0, 1.0, 1.0, 1.0, 0.0, 30903.950230821636, 27600.304834445076, 38665.718873005047, 1.0]
iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2052631146439132, 1.0, 1.0, 1.0, 1.0, 0.0, 30903.950230821636, 27600.304834445076, 38665.718873005047, 1.0]
iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 2 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2583851784048619, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.180011077933, 27632.113686987119, 38900.071863774472, 1.0]
iteration = 3 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2577153355196076, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.510029084879, 27617.955867470177, 38900.08264791176, 1.0]
iteration = 1 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 2 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2583851784048619, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.180011077933, 27632.113686987119, 38900.071863774472, 1.0]
iteration = 3 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2577153355196076, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.510029084879, 27617.955867470177, 38900.08264791176, 1.0]
iteration = 4 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.1594706327904194, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.203902041911, 27636.885649320309, 38880.66692635708, 1.0]
iteration = 5 , objective = 0.000277916666667, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99996729905433457, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 6 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 7 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 8 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [-1.0000020498302624, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 9 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [-1.0000012754241496, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 10 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [-1.0000012754241496, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 11 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 12 , objective = 0.000277777777778, inputs = [1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2583851784048619, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.180011077933, 27632.113686987119, 38900.071863774472, 1.0]
iteration = 13 , objective = 0.000277777777778, inputs = [1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.2577153355196076, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.510029084879, 27617.955867470177, 38900.08264791176, 1.0]
iteration = 14 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-1.1594706327904194, 1.0, 1.0, 1.0, 1.0, 0.0, 31263.203902041911, 27636.885649320309, 38880.66692635708, 1.0]
iteration = 15 , objective = 0.000277916666667, inputs = [1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99996729905433457, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 16 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
iteration = 17 , objective = 0.000277777777778, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [-0.99999999999690803, 1.0, 1.0, 1.0, 1.0, 0.0, 31247.506788194321, 27203.015386696337, 38880.631339187537, 1.0]
