# AoA Mach CL CD RPM_for RPM_lift Cp_lift Cp_for Ct_lift Ct_for
0.12217305 0.44079532 0.59836100 0.01826500 8.16814090 4.81710874 10.00000000 60.42713760 0.00100000 10.00000000
0.00698132 0.30000000 0.05671100 -0.02545800 0.00010472 396.31979322 -1000.00000000 -146.57880339 100.00000000 0.00100000
0.08726646 0.50000000 0.52310700 -0.08260600 792.75146763 418.87902048 0.00000000 248.15478376 -1000.00000000 200.00000000
0.26179939 0.21000000 1.18700600 0.07177900 2.09439510 3.14159265 200.00000000 20.13225978 44.00000000 15.00000000
0.69813170 0.10000000 3.05057500 0.43065100 1.04719755 -10.47197551 10.00000000 -41.15908772 20.00000000 750.00000000
0.10471976 0.81195286 0.73557300 0.02369200 47.12388980 157.07963268 -10.00000000 600.00000000 80.00000000 500.00000000
0.15707963 0.51122958 0.83184600 0.03312600 36.65191429 36.65191429 44.45010058 55.06556492 150.00000000 1000.00000000
0.08726646 0.50823849 0.45220700 0.00412700 -209.43951024 78.53981634 1000.00000000 122.44107478 900.00000000 650.00000000
0.00000000 0.50240914 -0.00223200 -0.00000000 31.41592654 125.66370614 350.00000000 1000.00000000 90.00000000 90.00000000
0.36651914 0.49956803 2.16589400 0.18468700 7.33038286 6.80678408 -39.57310248 -495.62502938 550.00000000 800.00000000
