iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [0.9893617021276596, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -1.0, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.00000001977, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -6.44197864426, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 2 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 3 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 4 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 5 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 6 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 7 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 8 , objective = -1.0000000205, inputs = [1.0000000149011612, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 9 , objective = -1.30759954108, inputs = [1.0, 1.0000000149011612], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 10 , objective = -7.89542927211, inputs = [1.0, 1.0], constraints = [1.0, 1.0, 1.0, 1.0]
iteration = 1 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 2 , objective = -0.0778938513673, inputs = [1.0000000149011612, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 3 , objective = -0.101853962213, inputs = [1.0, 1.0000000149011612, 1.0, 1.0], constraints = [1.0]
iteration = 4 , objective = -0.0778938498275, inputs = [1.0, 1.0, 1.0000000149011612, 1.0], constraints = [1.0]
iteration = 5 , objective = -0.145335758162, inputs = [1.0, 1.0, 1.0, 1.0000000149011612], constraints = [1.0]
iteration = 6 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 7 , objective = -0.0778938513673, inputs = [1.0000000149011612, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 8 , objective = -0.101853962213, inputs = [1.0, 1.0000000149011612, 1.0, 1.0], constraints = [1.0]
iteration = 9 , objective = -0.0778938498275, inputs = [1.0, 1.0, 1.0000000149011612, 1.0], constraints = [1.0]
iteration = 10 , objective = -0.145335758162, inputs = [1.0, 1.0, 1.0, 1.0000000149011612], constraints = [1.0]
iteration = 11 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 12 , objective = -0.0778938513673, inputs = [1.0000000149011612, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 13 , objective = -0.101853962213, inputs = [1.0, 1.0000000149011612, 1.0, 1.0], constraints = [1.0]
iteration = 14 , objective = -0.0778938498275, inputs = [1.0, 1.0, 1.0000000149011612, 1.0], constraints = [1.0]
iteration = 15 , objective = -0.145335758162, inputs = [1.0, 1.0, 1.0, 1.0000000149011612], constraints = [1.0]
iteration = 16 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 1 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 2 , objective = -0.0784107038613, inputs = [1.005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 3 , objective = -0.0781556870102, inputs = [1.0, 1.005, 1.0, 1.0], constraints = [1.0]
iteration = 4 , objective = -0.0778938498269, inputs = [1.0, 1.0, 1.005, 1.0], constraints = [1.0]
iteration = 5 , objective = -0.0780024272545, inputs = [1.0, 1.0, 1.0, 1.005], constraints = [1.0]
iteration = 6 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 7 , objective = -0.0784107038613, inputs = [1.005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 8 , objective = -0.0781556870102, inputs = [1.0, 1.005, 1.0, 1.0], constraints = [1.0]
iteration = 9 , objective = -0.0778938498269, inputs = [1.0, 1.0, 1.005, 1.0], constraints = [1.0]
iteration = 10 , objective = -0.0780024272545, inputs = [1.0, 1.0, 1.0, 1.005], constraints = [1.0]
iteration = 11 , objective = -0.615005381598, inputs = [1.0, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 12 , objective = -0.0784107038613, inputs = [1.005, 1.0, 1.0, 1.0], constraints = [1.0]
iteration = 13 , objective = -0.0781556870102, inputs = [1.0, 1.005, 1.0, 1.0], constraints = [1.0]
iteration = 14 , objective = -0.0778938498269, inputs = [1.0, 1.0, 1.005, 1.0], constraints = [1.0]
iteration = 15 , objective = -0.0780024272545, inputs = [1.0, 1.0, 1.0, 1.005], constraints = [1.0]
iteration = 16 , objective = -0.729480799612, inputs = [0.5319148939991436, 0.5000000003869758, 0.06666666705379498, 0.11111111149891428], constraints = [-1.0]
iteration = 17 , objective = -0.837708135625, inputs = [0.7658680006681227, 0.7499044552485268, 0.5331549829629061, 0.5553856980694689], constraints = [-1.0]
iteration = 18 , objective = -0.775821686911, inputs = [0.8827597972985025, 0.8747661471089996, 0.7662301411861692, 0.7773620392297093], constraints = [-1.0]
iteration = 19 , objective = -0.3092945119, inputs = [0.9412540217595169, 0.9372486141495506, 0.8828640797037561, 0.888441980672642], constraints = [-1.0]
iteration = 20 , objective = -0.186312551732, inputs = [0.9708638639619028, 0.9688773092307129, 0.9419043105431312, 0.9446707719470288], constraints = [-1.0]
iteration = 21 , objective = -0.075065239809, inputs = [0.9857592437787266, 0.9847882831266311, 0.9716047951595127, 0.9729569477715458], constraints = [-1.0]
iteration = 22 , objective = -0.171783116963, inputs = [0.9932777662061167, 0.9928194320835022, 0.986596273217723, 0.9872345459219155], constraints = [1.0]
iteration = 23 , objective = -0.169085368511, inputs = [0.9969527400876531, 0.9967449723662187, 0.9939239484147593, 0.9942132842046572], constraints = [1.0]
iteration = 24 , objective = -0.139201221761, inputs = [0.9987598572629413, 0.9986753020762674, 0.9975272305414777, 0.9976449814681246], constraints = [1.0]
iteration = 25 , objective = -0.127489749077, inputs = [0.9996122946773169, 0.9995858602234801, 0.9992269390835518, 0.9992637515081604], constraints = [1.0]
iteration = 26 , objective = -0.0778807280246, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 27 , objective = -0.718205931132, inputs = [1.004934603569103, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 28 , objective = -0.698816350166, inputs = [0.9999346035691031, 1.0049301447215389, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
iteration = 29 , objective = -0.077880728024, inputs = [0.9999346035691031, 0.9999301447215388, 1.004869603480159, 0.9998758128382494], constraints = [1.0]
iteration = 30 , objective = -0.094852849674, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 1.0048758128382493], constraints = [1.0]
iteration = 31 , objective = -0.0778807280246, inputs = [0.9999346035691031, 0.9999301447215388, 0.9998696034801591, 0.9998758128382494], constraints = [1.0]
