# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
20

# DegenGeom Type, SurfNdx, GeomID
LIFTING_SURFACE,horizontal_stabilizer,0,XINHKYSYPM
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
8.886162755119112688e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
8.865170889821950340e+00, 0.000000000000000000e+00, 3.284846447613933851e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
8.834992454825833619e+00, 0.000000000000000000e+00, 3.243915846049313378e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
8.792498579751429233e+00, 0.000000000000000000e+00, 3.188221755240656097e-01, 1.000000000000000000e+00, 1.722603643809274832e-01
8.734383512753296941e+00, 0.000000000000000000e+00, 3.115569446767444406e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
8.657997285411095589e+00, 0.000000000000000000e+00, 3.026106888402183004e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
8.562667978383775136e+00, 0.000000000000000000e+00, 2.924216086682189797e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
8.451100859619463890e+00, 0.000000000000000000e+00, 2.820127447404931487e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
8.329931989324347086e+00, 0.000000000000000000e+00, 2.729729175824935350e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
8.208571281272778464e+00, 0.000000000000000000e+00, 2.670852075419724581e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
8.096535476109444573e+00, 0.000000000000000000e+00, 2.656492889049497652e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
8.000729633186109524e+00, 0.000000000000000000e+00, 2.689267540823962466e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
7.924180584692268603e+00, 0.000000000000000000e+00, 2.762024518449661681e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
7.866524703928917006e+00, 0.000000000000000000e+00, 2.863801656945750840e-01, 1.000000000000000000e+00, 1.827739635619072489e+00
7.825516528237209002e+00, 0.000000000000000000e+00, 2.987052069842364710e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
7.799012191246383452e+00, 0.000000000000000000e+00, 3.134562903494386710e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
7.788999999999999702e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
7.799012191246383452e+00, 0.000000000000000000e+00, 3.493437096505609962e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
7.825516528237207226e+00, 0.000000000000000000e+00, 3.640947930157634738e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
7.866524703928917006e+00, 0.000000000000000000e+00, 3.764198343054247498e-01, 1.000000000000000000e+00, 2.172260364380927289e+00
7.924180584692267715e+00, 0.000000000000000000e+00, 3.865975481550337767e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
8.000729633186109524e+00, 0.000000000000000000e+00, 3.938732459176037537e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
8.096535476109442797e+00, 0.000000000000000000e+00, 3.971507110950502906e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
8.208571281272778464e+00, 0.000000000000000000e+00, 3.957147924580275422e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
8.329931989324347086e+00, 0.000000000000000000e+00, 3.898270824175064098e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
8.451100859619463890e+00, 0.000000000000000000e+00, 3.807872552595068516e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
8.562667978383775136e+00, 0.000000000000000000e+00, 3.703783913317809651e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
8.657997285411095589e+00, 0.000000000000000000e+00, 3.601893111597817554e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
8.734383512753295165e+00, 0.000000000000000000e+00, 3.512430553232556707e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
8.792498579751431009e+00, 0.000000000000000000e+00, 3.439778244759343906e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
8.834992454825833619e+00, 0.000000000000000000e+00, 3.384084153950686069e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
8.865170889821950340e+00, 0.000000000000000000e+00, 3.343153552386066707e-01, 1.000000000000000000e+00, 3.958266880232111262e+00
8.886162755119112688e+00, 0.000000000000000000e+00, 3.313999999999999724e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
8.886162755119112688e+00, 4.600403432214442700e-01, 3.313999999999999169e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
8.865170889821950340e+00, 4.600403432214442700e-01, 3.284846447613933851e-01, 1.199999999999999956e+00, 4.173311976788848798e-02
8.834992454825833619e+00, 4.600403432214442700e-01, 3.243915846049313378e-01, 1.199999999999999956e+00, 9.595583006934514658e-02
8.792498579751429233e+00, 4.600403432214442700e-01, 3.188221755240656097e-01, 1.199999999999999956e+00, 1.722603643809274832e-01
8.734383512753296941e+00, 4.600403432214443256e-01, 3.115569446767444406e-01, 1.199999999999999956e+00, 2.765358755368439447e-01
8.657997285411095589e+00, 4.600403432214442700e-01, 3.026106888402183004e-01, 1.199999999999999956e+00, 4.134663504172014781e-01
8.562667978383775136e+00, 4.600403432214442700e-01, 2.924216086682189797e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
8.451100859619463890e+00, 4.600403432214442700e-01, 2.820127447404931487e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
8.329931989324347086e+00, 4.600403432214442700e-01, 2.729729175824935350e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
8.208571281272778464e+00, 4.600403432214442700e-01, 2.670852075419724581e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
8.096535476109444573e+00, 4.600403432214443256e-01, 2.656492889049497652e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
8.000729633186109524e+00, 4.600403432214443811e-01, 2.689267540823962466e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
7.924180584692268603e+00, 4.600403432214442700e-01, 2.762024518449661681e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
7.866524703928918782e+00, 4.600403432214442700e-01, 2.863801656945750840e-01, 1.199999999999999956e+00, 1.827739635619072489e+00
7.825516528237209002e+00, 4.600403432214443811e-01, 2.987052069842364710e-01, 1.199999999999999956e+00, 1.904044169930654951e+00
7.799012191246383452e+00, 4.600403432214442700e-01, 3.134562903494386710e-01, 1.199999999999999956e+00, 1.958266880232111484e+00
7.788999999999999702e+00, 4.600403432214442700e-01, 3.313999999999999169e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
7.799012191246383452e+00, 4.600403432214442700e-01, 3.493437096505609962e-01, 1.199999999999999956e+00, 2.041733119767888294e+00
7.825516528237207226e+00, 4.600403432214442700e-01, 3.640947930157634183e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
7.866524703928917006e+00, 4.600403432214442700e-01, 3.764198343054247498e-01, 1.199999999999999956e+00, 2.172260364380927289e+00
7.924180584692267715e+00, 4.600403432214442700e-01, 3.865975481550337767e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
