# AoA Mach CL CD RPM_for RPM_lift Cp_lift Cp_for Ct_lift Ct_for
0.12217305 0.44079532 0.64825000 0.02137600 8.16814090 4.81710874 10.00000000 60.42713760 0.00100000 10.00000000
0.00698132 0.30000000 0.03876400 -0.02617400 0.00010472 396.31979322 -1000.00000000 -146.57880339 100.00000000 0.00100000
0.08726646 0.50000000 0.56440700 -0.08142300 792.75146763 418.87902048 0.00000000 248.15478376 -1000.00000000 200.00000000
0.26179939 0.21000000 1.29662500 0.08447300 2.09439510 3.14159265 200.00000000 20.13225978 44.00000000 15.00000000
0.69813170 0.10000000 3.37250300 0.50849400 1.04719755 -10.47197551 10.00000000 -41.15908772 20.00000000 750.00000000
0.10471976 0.81195286 0.78291000 0.02686400 47.12388980 157.07963268 -10.00000000 600.00000000 80.00000000 500.00000000
0.15707963 0.51122958 0.90011900 0.03861000 36.65191429 36.65191429 44.45010058 55.06556492 150.00000000 1000.00000000
0.08726646 0.50823849 0.48824600 0.00556000 -209.43951024 78.53981634 1000.00000000 122.44107478 900.00000000 650.00000000
0.00000000 0.50240914 -0.00169100 -0.00000000 31.41592654 125.66370614 350.00000000 1000.00000000 90.00000000 90.00000000
0.36651914 0.49956803 2.35801400 0.21563200 7.33038286 6.80678408 -39.57310248 -495.62502938 550.00000000 800.00000000
